"id","cargo","remun_media"
1,"Auxiliar de Serviços de Educação Básica",1789.11
2,"Técnico Universitário (contrato)",1966.66
3,"Técnico de Desenvolvimento Rural",2125.5
4,"Analista de Educação Básica",2365.21
5,"Técnico de Gestão da Saúde",2430.47
6,"Assistente Executivo de Defesa Social (contrato)",2483.37
7,"Técnico de TV",2655.44
8,"Assistente Técnico de Seguridade Social",2690.34
9,"Analista Universitário (contrato)",2777.57
10,"Auxiliar de Desenvolvimento Econômico e Social",2790.93
